# LogExposure,DensityR,DensityG,DensityB
-2.368627,0.180396,0.583199,0.849416
-2.341176,0.180608,0.583145,0.849267
-2.313725,0.181061,0.583257,0.849596
-2.286275,0.181947,0.583518,0.850483
-2.258824,0.182455,0.583893,0.851026
-2.231373,0.182326,0.584383,0.851159
-2.203922,0.182566,0.585006,0.851570
-2.176471,0.183054,0.585845,0.852166
-2.149020,0.183761,0.586354,0.852600
-2.121569,0.184564,0.586518,0.852898
-2.094118,0.185188,0.587332,0.853718
-2.066667,0.185722,0.588393,0.854887
-2.039216,0.186673,0.589031,0.855593
-2.011765,0.187788,0.589681,0.856319
-1.984314,0.188376,0.590640,0.857415
-1.956863,0.189104,0.591658,0.858578
-1.929412,0.190280,0.592703,0.859769
-1.901961,0.191520,0.593789,0.860987
-1.874510,0.192764,0.594952,0.862279
-1.847059,0.194110,0.596250,0.863754
-1.819608,0.195614,0.597592,0.865370
-1.792157,0.197072,0.598935,0.867056
-1.764706,0.198466,0.600277,0.868752
-1.737255,0.199953,0.601582,0.870448
-1.709804,0.201524,0.602751,0.872144
-1.682353,0.203037,0.603968,0.873906
-1.654902,0.204502,0.605254,0.875865
-1.627451,0.206476,0.606910,0.878036
-1.600000,0.209206,0.609270,0.880664
-1.572549,0.212070,0.612020,0.883849
-1.545098,0.215387,0.615555,0.887786
-1.517647,0.219541,0.620068,0.892343
-1.490196,0.224528,0.625400,0.897635
-1.462745,0.230026,0.631266,0.903558
-1.435294,0.236002,0.637788,0.909960
-1.407843,0.242372,0.644979,0.916755
-1.380392,0.249328,0.652909,0.924143
-1.352941,0.256743,0.661360,0.932102
-1.325490,0.264367,0.670187,0.940475
-1.298039,0.272238,0.679355,0.949169
-1.270588,0.280821,0.689115,0.958267
-1.243137,0.289974,0.699381,0.967810
-1.215686,0.299274,0.709911,0.977753
-1.188235,0.308804,0.720827,0.988212
-1.160784,0.318884,0.732390,0.999222
-1.133333,0.329581,0.744688,1.010834
-1.105882,0.340618,0.757468,1.022954
-1.078431,0.352066,0.770705,1.035430
-1.050980,0.363859,0.784300,1.048130
-1.023529,0.375859,0.798196,1.061261
-0.996078,0.387975,0.812272,1.074694
-0.968627,0.400226,0.826543,1.088101
-0.941176,0.412583,0.840887,1.101415
-0.913725,0.425008,0.855231,1.114943
-0.886275,0.437513,0.869575,1.128981
-0.858824,0.450122,0.884091,1.143159
-0.831373,0.462933,0.899218,1.157367
-0.803922,0.475943,0.914159,1.171617
-0.776471,0.489120,0.929057,1.185985
-0.749020,0.502462,0.944262,1.200856
-0.721569,0.515821,0.959766,1.216110
-0.694118,0.529107,0.975311,1.230658
-0.666667,0.542392,0.990857,1.245260
-0.639216,0.555725,1.006402,1.260387
-0.611765,0.569111,1.021951,1.275490
-0.584314,0.582638,1.037705,1.290484
-0.556863,0.596078,1.053476,1.305426
-0.529412,0.609433,1.069153,1.320237
-0.501961,0.622788,1.084867,1.335158
-0.474510,0.636143,1.100690,1.350345
-0.447059,0.649541,1.116629,1.365315
-0.419608,0.663087,1.132709,1.380120
-0.392157,0.676473,1.148659,1.395053
-0.364706,0.689828,1.164468,1.410048
-0.337255,0.703183,1.180128,1.424993
-0.309804,0.716538,1.195631,1.439798
-0.282353,0.729741,1.210991,1.454360
-0.254902,0.742731,1.226309,1.468916
-0.227451,0.755732,1.241650,1.483472
-0.200000,0.768737,1.256816,1.498029
-0.172549,0.781820,1.271796,1.512702
-0.145098,0.794863,1.286776,1.527247
-0.117647,0.807688,1.301756,1.541662
-0.090196,0.820608,1.316750,1.556076
-0.062745,0.833610,1.331893,1.570491
-0.035294,0.846611,1.346997,1.584945
-0.007843,0.859613,1.362033,1.599616
0.019608,0.872648,1.377128,1.614211
0.047059,0.885819,1.392325,1.628753
0.074510,0.899024,1.407648,1.643390
0.101961,0.912248,1.422981,1.658105
0.129412,0.925346,1.438314,1.672867
0.156863,0.938407,1.453648,1.687638
0.184314,0.951548,1.468981,1.702345
0.211765,0.964691,1.484314,1.717037
0.239216,0.977834,1.499674,1.731829
0.266667,0.990976,1.514965,1.746552
0.294118,1.004072,1.530093,1.761032
0.321569,1.017091,1.545196,1.775523
0.349020,1.030027,1.560317,1.790086
0.376471,1.042919,1.575438,1.804624
0.403922,1.055767,1.590560,1.819111
0.431373,1.068686,1.605732,1.833522
0.458824,1.081731,1.621056,1.847812
0.486275,1.094589,1.636147,1.862330
0.513725,1.107358,1.651198,1.876886
0.541176,1.120208,1.666230,1.891442
0.568627,1.133071,1.681285,1.905998
0.596078,1.145872,1.696501,1.920386
0.623529,1.158656,1.711791,1.934712
0.650980,1.171495,1.727053,1.949404
0.678431,1.184378,1.742313,1.964089
0.705882,1.197394,1.757206,1.978645
0.733333,1.210362,1.772154,1.993201
0.760784,1.223115,1.787328,2.007757
0.788235,1.235971,1.802569,2.022341
0.815686,1.248902,1.817832,2.037171
0.843137,1.261833,1.833094,2.051796
0.870588,1.274763,1.848357,2.066147
0.898039,1.287679,1.863550,2.080695
0.925490,1.300527,1.878541,2.095325
0.952941,1.313333,1.893678,2.110013
0.980392,1.326113,1.908878,2.124719
1.007843,1.338961,1.924138,2.139308
1.035294,1.351827,1.939401,2.153848
1.062745,1.364626,1.954664,2.168507
1.090196,1.377410,1.969926,2.183093
1.117647,1.390331,1.985099,2.197507
1.145098,1.403093,2.000149,2.211922
1.172549,1.415670,2.014962,2.226337
1.200000,1.428248,2.029856,2.240758
1.227451,1.440826,2.045032,2.255265
1.254902,1.453403,2.060034,2.269706
1.282353,1.465981,2.074847,2.284047
1.309804,1.478546,2.089755,2.298356
1.337255,1.491043,2.104778,2.312625
1.364706,1.503476,2.119548,2.326844
1.392157,1.515735,2.134049,2.340878
1.419608,1.527818,2.148478,2.354630
1.447059,1.539600,2.162788,2.368220
1.474510,1.551119,2.176854,2.381826
1.501961,1.562399,2.190678,2.395239
1.529412,1.573488,2.204395,2.408144
1.556863,1.584439,2.217785,2.420824
1.584314,1.595248,2.230876,2.433511
1.611765,1.605865,2.243917,2.446084
1.639216,1.616227,2.256943,2.458354
1.666667,1.626392,2.269846,2.470415
1.694118,1.636383,2.282282,2.482306
1.721569,1.646180,2.294506,2.494018
1.749020,1.655756,2.306598,2.505475
1.776471,1.664932,2.318477,2.516603
1.803922,1.674047,2.330112,2.527448
1.831373,1.683162,2.341486,2.538105
1.858824,1.692277,2.352679,2.548597
1.886275,1.700979,2.363754,2.558876
1.913725,1.709008,2.374640,2.568887
1.941176,1.717117,2.385209,2.578612
1.968627,1.725119,2.395578,2.588125
1.996078,1.732892,2.405864,2.597497
2.023529,1.740498,2.415873,2.606586
2.050980,1.747960,2.425410,2.615320
2.078431,1.755273,2.434712,2.623906
2.105882,1.762331,2.443891,2.632390
2.133333,1.769051,2.452754,2.640501
2.160784,1.775422,2.461178,2.648052
2.188235,1.781536,2.469264,2.655331
2.215686,1.787485,2.477182,2.662481
2.243137,1.793141,2.484892,2.669364
2.270588,1.798714,2.492515,2.676131
2.298039,1.804231,2.500019,2.682792
2.325490,1.809739,2.507503,2.689423
2.352941,1.815373,2.515049,2.696238
